任务类型,店铺名,站点,状态,记录时间
获取侵权信息,高人一等,墨西哥,失败：登录失效,2026-08-16 10:14:16
获取侵权信息,高人一等,巴西,失败：登录失效,2026-08-16 10:14:16
获取侵权信息,高人一等,阿根廷,失败：登录失效,2026-08-16 10:14:16
获取侵权信息,马到成功,墨西哥,失败：登录失效,2026-08-16 10:08:58
获取侵权信息,马到成功,阿根廷,失败：登录失效,2026-08-16 10:08:58
获取侵权信息,腾,墨西哥,"失败：比特浏览器打开窗口失败，已重试3次：{'success': False, 'msg': '浏览器正在打开中'}",2026-08-16 10:27:58
获取侵权信息,腾,阿根廷,"失败：比特浏览器打开窗口失败，已重试3次：{'success': False, 'msg': '浏览器正在打开中'}",2026-08-16 10:27:58
获取侵权信息,张健3,墨西哥,"失败：比特浏览器打开窗口失败，已重试3次：{'success': False, 'msg': '浏览器正在打开中'}",2026-08-16 10:28:05
获取侵权信息,张健3,巴西,"失败：比特浏览器打开窗口失败，已重试3次：{'success': False, 'msg': '浏览器正在打开中'}",2026-08-16 10:28:05
获取侵权信息,张健3,阿根廷,"失败：比特浏览器打开窗口失败，已重试3次：{'success': False, 'msg': '浏览器正在打开中'}",2026-08-16 10:28:05
获取侵权信息,钱程似锦2,墨西哥,失败：登录失效,2026-08-16 10:11:08
获取侵权信息,钱程似锦2,巴西,失败：登录失效,2026-08-16 10:11:08
获取侵权信息,钱程似锦2,阿根廷,失败：登录失效,2026-08-16 10:11:08
获取侵权信息,春暖花开,巴西,失败：登录失效,2026-08-16 10:08:11
获取侵权信息,春暖花开,阿根廷,失败：登录失效,2026-08-16 10:08:11
获取侵权信息,杨雨萌3,墨西哥,失败：窗口ID不存在,2026-08-16 10:15:14
获取侵权信息,杨雨萌3,巴西,失败：窗口ID不存在,2026-08-16 10:15:14
