任务类型,店铺名,站点,状态,记录时间
获取声誉信息,钱程似锦2,墨西哥,"失败：打开比特浏览器窗口失败，已重试 3 次，最后返回：{'success': False, 'msg': '浏览器正在打开中'}",2026-08-23 19:52:30
获取声誉信息,钱程似锦2,巴西,"失败：打开比特浏览器窗口失败，已重试 3 次，最后返回：{'success': False, 'msg': '浏览器正在打开中'}",2026-08-23 19:52:30
获取声誉信息,钱程似锦2,阿根廷,"失败：打开比特浏览器窗口失败，已重试 3 次，最后返回：{'success': False, 'msg': '浏览器正在打开中'}",2026-08-23 19:52:30
获取声誉信息,龙争虎斗,巴西,"失败：打开比特浏览器窗口失败，已重试 3 次，最后返回：{'success': False, 'msg': '浏览器正在关闭中，请稍后操作'}",2026-08-23 19:52:36
获取声誉信息,张健3,墨西哥,失败：登录失效,2026-08-23 17:27:15
获取声誉信息,张健3,巴西,失败：登录失效,2026-08-23 17:27:25
获取声誉信息,张健3,阿根廷,失败：登录失效,2026-08-23 17:27:25
获取声誉信息,高人一等,墨西哥,失败：登录失效,2026-08-23 17:30:17
获取声誉信息,高人一等,巴西,失败：登录失效,2026-08-23 17:30:27
获取声誉信息,高人一等,阿根廷,失败：登录失效,2026-08-23 17:30:27
获取声誉信息,杨雨萌3,墨西哥,失败：窗口ID不存在,2026-08-23 17:55:48
获取声誉信息,杨雨萌3,巴西,失败：窗口ID不存在,2026-08-23 17:55:48
